date,average,count
2020/12/20,1.701923077,104
2020/12/21,1.716312057,141
2020/12/22,1.695238095,105
2020/12/23,1.551401869,107
2020/12/24,2.212765957,47
2020/12/25,2.184210526,38
2020/12/26,1.782608696,46
2020/12/27,1.545454545,44
2020/12/28,1.518072289,83
2020/12/29,1.633093525,139
2020/12/30,1.939086294,197
2021/1/2,1.666666667,111
2021/1/3,1.443609023,133
2021/1/4,1.6,225
2021/1/5,1.647887324,142
2021/1/6,1.68125,160
2021/1/7,1.638888889,108
2021/1/8,1.682926829,164
2021/1/9,1.663461538,104
2021/1/10,1.680412371,97
2021/1/11,1.495575221,113
2021/1/12,1.765217391,115
2021/1/13,1.494623656,93
2021/1/14,1.776595745,94
2021/1/15,1.539823009,113
2021/1/16,1.902777778,72
2021/1/17,2.01369863,73
2021/1/18,1.717391304,92
2021/1/19,1.492957746,71
2021/1/20,1.536231884,69
2021/1/21,1.84,100
2021/1/22,1.764705882,85
2021/1/23,1.9125,80
2021/1/24,1.761904762,63
2021/1/25,2.023529412,85
2021/1/26,1.552380952,105
2021/1/27,1.59,100
2021/1/28,1.773809524,84
2021/1/29,2.226190476,84
2021/1/30,1.862745098,51
2021/1/31,1.914893617,47
2021/2/1,1.677419355,62
2021/2/2,1.87254902,102
2021/2/3,1.55,80
2021/2/4,1.902777778,72
2021/2/5,2.111111111,63
2021/2/6,1.979591837,49
2021/2/7,1.5,42
2021/2/8,1.842105263,38
2021/2/9,1.875,64
2021/2/10,1.674698795,83
2021/2/11,1.820895522,67
2021/2/12,1.883333333,60
2021/2/13,1.956521739,46
2021/2/14,1.957446809,47
2021/2/15,1.661016949,59
2021/2/16,2.063829787,47
2021/2/17,2.01369863,73
2021/2/18,1.661016949,59
2021/2/19,1.759259259,54
2021/2/20,1.413793103,29
2021/2/21,1.450980392,51
2021/2/22,1.741935484,62
2021/2/23,1.930232558,43
2021/2/24,1.679245283,53
2021/2/25,1.844444444,45
2021/2/26,1.785714286,56
2021/2/27,2.107142857,28
2021/2/28,1.567567568,37
2021/3/1,1.75,60
2021/3/2,1.87037037,54
2021/3/3,2.083333333,48
2021/3/4,1.818181818,55
2021/3/5,1.74,50
2021/3/6,1.531914894,47
2021/3/7,1.666666667,39
2021/3/8,1.844444444,45
2021/3/9,1.84375,32
2021/3/10,1.78,50
2021/3/11,1.838709677,31
2021/3/12,1.756097561,41
2021/3/13,1.92,25
