Location,Count,Mean
Barnsley,23.0,2.0434782608695654
Bedford,28.0,1.8214285714285714
Birmingham,338.0,1.6893491124260356
Blackpool,39.0,2.1025641025641026
Bolton,28.0,2.2142857142857144
Bradford,53.0,2.0
Buckinghamshire,11.0,1.9090909090909092
Bury,34.0,1.911764705882353
Cambridgeshire,29.0,1.6206896551724137
Cornwall,48.0,1.5625
Coventry,88.0,1.5454545454545454
Cumbria,16.0,2.0
Darlington,10.0,1.7
Derby,49.0,1.5918367346938775
Derbyshire,45.0,1.7333333333333334
Devon,59.0,1.5084745762711864
Doncaster,35.0,1.6285714285714286
Dorset,32.0,1.59375
Dudley,20.0,1.65
Essex,59.0,1.7457627118644068
Gateshead,10.0,1.8
Gloucestershire,18.0,2.0
Hampshire,27.0,1.962962962962963
Hartlepool,8.0,1.5
Hertfordshire,41.0,1.7317073170731707
Kent,55.0,1.6363636363636365
Knowsley,4.0,1.5
Lancashire,35.0,1.3714285714285714
Leeds,188.0,1.797872340425532
Leicester,125.0,1.752
Leicestershire,20.0,1.8
Lincolnshire,30.0,1.7666666666666666
Liverpool,383.0,1.5848563968668408
Luton,16.0,1.6875
Manchester,568.0,1.8151408450704225
Medway,7.0,1.7142857142857142
Middlesbrough,20.0,2.0
Norfolk,36.0,1.7777777777777777
Northamptonshire,25.0,1.2
Northumberland,3.0,2.3333333333333335
Nottingham,166.0,1.5843373493975903
Nottinghamshire,12.0,1.0833333333333333
Oldham,22.0,1.0909090909090908
Oxfordshire,24.0,1.9166666666666667
Peterborough,35.0,1.7142857142857142
Plymouth,59.0,2.016949152542373
Portsmouth,70.0,1.7285714285714286
Reading,81.0,1.4074074074074074
Rochdale,33.0,2.242424242424242
Rotherham,21.0,2.0
Rutland,7.0,1.7142857142857142
Salford,27.0,2.0
Sandwell,3.0,3.0
Sefton,1.0,1.0
Sheffield,268.0,1.8544776119402986
Shropshire,53.0,2.018867924528302
Slough,25.0,1.24
Solihull,34.0,1.5294117647058822
Somerset,10.0,1.8
Southampton,107.0,1.8224299065420562
Southend-on-Sea,16.0,1.5625
St.Helens,2.0,3.0
Staffordshire,38.0,1.5526315789473684
Stockport,40.0,1.5
Stockton-on-Tees,8.0,2.125
Stoke-on-Trent,85.0,1.588235294117647
Suffolk,24.0,2.0416666666666665
Sunderland,52.0,1.5769230769230769
Surrey,88.0,1.5909090909090908
Swindon,61.0,1.8032786885245902
Tameside,1.0,4.0
Thurrock,1.0,1.0
Torbay,22.0,1.4090909090909092
Trafford,1.0,1.0
Wakefield,35.0,1.6857142857142857
Walsall,4.0,1.0
Warrington,40.0,1.625
Warwickshire,10.0,1.6
Wigan,23.0,1.565217391304348
Wiltshire,16.0,1.4375
Wirral,43.0,1.930232558139535
Wokingham,7.0,2.7142857142857144
Wolverhampton,33.0,2.242424242424242
Worcestershire,19.0,1.6842105263157894
York,83.0,1.5662650602409638
Belfast,245.0,1.689795918367347
Aberdeenshire,1.0,2.0
Angus,1.0,2.0
Falkirk,23.0,1.6521739130434783
Fife,34.0,1.5
Highland,10.0,1.0
Inverclyde,6.0,1.0
Renfrewshire,3.0,2.0
Stirling,6.0,1.6666666666666667
Bridgend,17.0,2.235294117647059
Caerphilly,7.0,1.5714285714285714
Cardiff,259.0,1.833976833976834
Ceredigion,1.0,0.0
Conwy,3.0,2.3333333333333335
Flintshire,5.0,0.4
Gwynedd,1.0,1.0
Monmouthshire,3.0,2.0
Newport,29.0,2.1724137931034484
Pembrokeshire,6.0,2.8333333333333335
Swansea,51.0,1.8431372549019607
Torfaen,3.0,2.3333333333333335
Wrexham,22.0,1.5
