index,name,location,location1,location2,date,content,result,site
97964,Martin Hopkins ??,Wakefield,(Gods,own,2020-10-23,"This #COVID19 virus is just so clever! First it could tell when it was 10pm, then if I was eating or drinking now it can tell if there for a business meeting or pleasure! #PandemicLife #CancelTheCurfew",3,Wakefield
98108,john williams,Birmingham,West,Midlands,2020-10-23,"""This project brings together scientists and clinicians in all four?UK nations, across neurology, psychiatry, genetics, epidemiology and immunology. By working together, we aim to rapidly improve our understanding and design better treatments."" https://t.co/7Sr45B5tNp",1,Birmingham
98367,Salford Royal Endoscopy Unit,Salford,Royal,NHS,2020-10-23,We¡¯ve started staff testing in Endoscopy @SalfordRoyalNHS ???? #Covid19UK #coronavirus #NHS https://t.co/LO4L3Wzpwb,3,Salford
98251,Gav Mac ?,Purley,Surrey,UK,2020-10-23,Germany showing the way for western democracies to limit the spread of the virus in schools. Whereas the idiots in the White House and Downing Street are utterly hopeless without forward thinking &amp; planning. https://t.co/OtEE3R8Uug,1,Surrey
98030,Eric Hawkins,Wimborne,Dorset,UK,2020-10-23,"I am looking for a UK partner with an established solar PV installation business, or solar thermal who also sells PV or a company offering all 3 including heat pumps.Covid-19 has delayed our UK plans until next year. The Cool Sheet could be manufactured in the UK under licence https://t.co/EuNmSkEG9q",1,Dorset
98300,BUCKINGHAMSHIRE,Buckinghamshire,(Bucks),UK,2020-10-23,Coronavirus in Bucks round up - Friday October 23 https://t.co/l1EgRFI24I,2,Buckinghamshire
98317,Tanvir Hamid ????????????????????????,Manchester,United,Kingdom,2020-10-23,My neck of the woods in south #Manchester now. #M14 #COVID19 ?????? https://t.co/ypNnsStDj0,2,Manchester
98340,Tanvir Hamid ????????????????????????,Manchester,United,Kingdom,2020-10-23,"Away from any politics &amp; anti-#Tory tweets, been laid off my place of #work this week as a result of #COVID19 pandemic affecting the #CoachIndustry&amp; my now former employer struggling to pay staff. My colleagues all laid off though Business not entirely closed @CPT_UK @CBWtweets https://t.co/BrmGXvFcvL",0,Manchester
98017,Jonny Harvey,Belfast,Northern,Ireland,2020-10-23,You know clinicians are starting to worry when this is the advice that¡¯s being given! ?? https://t.co/dbFmaiYpcX,4,Belfast
98060,Northern Ireland Assembly Women's Caucus,Belfast,Northern,Ireland,2020-10-23,@WSLobbyistNI highlighting the Women's Policy Group Feminist Recovery Plan mirrors the #WBGCommission report calling for gender sensitive crisis response to Covid-19,1,Belfast
