Location,Count,Mean
Barnsley,63.0,1.6984126984126984
Bedford,52.0,1.9615384615384615
Birmingham,865.0,1.661271676300578
Blackpool,81.0,1.7160493827160495
Bolton,119.0,1.6134453781512605
Bradford,198.0,1.702020202020202
Buckinghamshire,65.0,1.6307692307692307
Bury,78.0,1.7179487179487178
Calderdale,15.0,1.8666666666666667
Cambridgeshire,56.0,1.7678571428571428
Cornwall,135.0,1.7407407407407407
Coventry,236.0,1.6440677966101696
Cumbria,88.0,1.7045454545454546
Darlington,24.0,1.5
Derby,127.0,1.68503937007874
Derbyshire,108.0,1.7685185185185186
Devon,135.0,1.674074074074074
Doncaster,63.0,1.9047619047619047
Dorset,88.0,1.9090909090909092
Dudley,28.0,1.8571428571428572
Essex,283.0,1.6784452296819787
Gateshead,72.0,1.6666666666666667
Gloucestershire,49.0,2.0408163265306123
Halton,4.0,2.0
Hampshire,92.0,1.7608695652173914
Hartlepool,22.0,1.8181818181818181
Hertfordshire,178.0,1.803370786516854
Kent,177.0,1.7966101694915255
Kirklees,1.0,2.0
Knowsley,5.0,1.6
Lancashire,86.0,2.0232558139534884
Leeds,707.0,1.6661951909476662
Leicester,246.0,1.8008130081300813
Leicestershire,34.0,1.8823529411764706
Lincolnshire,128.0,1.7578125
Liverpool,837.0,1.7514934289127837
Luton,54.0,1.7777777777777777
Manchester,1768.0,1.6928733031674208
Medway,9.0,2.2222222222222223
Middlesbrough,64.0,1.765625
Norfolk,80.0,1.85
Northamptonshire,61.0,1.6721311475409837
Northumberland,64.0,1.59375
Nottingham,429.0,1.8648018648018647
Nottinghamshire,12.0,2.5
Oldham,86.0,1.744186046511628
Oxfordshire,101.0,1.6435643564356435
Peterborough,81.0,1.7407407407407407
Plymouth,186.0,1.7258064516129032
Portsmouth,113.0,1.7876106194690264
Reading,140.0,1.6714285714285715
Rochdale,84.0,1.7142857142857142
Rotherham,43.0,1.7209302325581395
Rutland,6.0,2.1666666666666665
Salford,147.0,1.5850340136054422
Sandwell,2.0,2.5
Sheffield,589.0,1.7419354838709677
Shropshire,59.0,1.4067796610169492
Slough,103.0,1.6601941747572815
Solihull,75.0,1.7333333333333334
Somerset,74.0,1.837837837837838
Southampton,239.0,1.8033472803347281
Southend-on-Sea,91.0,1.7472527472527473
St.Helens,1.0,0.0
Staffordshire,70.0,1.8428571428571427
Stockport,112.0,1.5982142857142858
Stockton-on-Tees,24.0,2.0
Stoke-on-Trent,93.0,1.7849462365591398
Suffolk,138.0,1.8043478260869565
Sunderland,105.0,1.723809523809524
Surrey,187.0,1.7593582887700534
Swindon,166.0,1.6385542168674698
Tameside,12.0,1.1666666666666667
Thurrock,1.0,3.0
Torbay,31.0,1.6129032258064515
Trafford,3.0,1.3333333333333333
Wakefield,78.0,1.7692307692307692
Walsall,50.0,1.68
Warrington,158.0,1.9240506329113924
Warwickshire,60.0,1.5666666666666667
Wigan,133.0,1.3984962406015038
Wiltshire,62.0,1.6451612903225807
Wirral,59.0,1.694915254237288
Wokingham,25.0,1.8
Wolverhampton,57.0,1.9649122807017543
Worcestershire,55.0,1.9454545454545455
York,248.0,1.6774193548387097
Belfast,594.0,1.7491582491582491
Aberdeenshire,9.0,1.7777777777777777
Angus,2.0,3.5
Clackmannanshire,3.0,1.6666666666666667
Falkirk,40.0,1.8
Fife,35.0,1.3428571428571427
Highland,27.0,0.9629629629629629
Inverclyde,16.0,2.0625
Midlothian,3.0,2.6666666666666665
Moray,1.0,3.0
Renfrewshire,3.0,1.6666666666666667
Stirling,37.0,1.8918918918918919
Bridgend,36.0,2.111111111111111
Caerphilly,31.0,1.8709677419354838
Cardiff,674.0,1.7077151335311573
Ceredigion,4.0,1.25
Conwy,2.0,1.0
Denbighshire,2.0,3.0
Flintshire,4.0,1.25
Gwynedd,2.0,2.0
Monmouthshire,2.0,2.5
Newport,96.0,1.9375
Pembrokeshire,18.0,2.1666666666666665
Powys,3.0,2.3333333333333335
Swansea,227.0,1.7973568281938326
Wrexham,60.0,1.7666666666666666
